Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Average_Rating;Rating_Count;Gross_Sales_EUR;Publisher;Adapted_to_Film;Genre
2008;Half Broke Horses: A True Life Novel;Jeannette Walls;en;Intermediate;04. Mai;110597;5107740.0;Penguin;0.0;Biography
1987;Mort;Terry Pratchett;en;Intermediate;Apr 22;128450;3821220.0;Amazon Digital Services,  Inc,;1.0;Fantasy
2010;The Iron King (The Iron Fey, #1) ;Julie Kagawa;en;Intermediate;Mrz 92;158063;420.75;Macmillan;0.0;Young Adult
1985;Lonesome Dove;Larry McMurtry;en;Famous;Apr 47;111498;1687.77;Amazon Digital Services,  Inc,;1.0;Mystery
2003;Stiff: The Curious Lives of Human Cadavers;Mary Roach;en;Intermediate;04. Mai;122502;4473.0;Random;0.0;Nonfiction
2011;Bloodlines;Richelle Mead;en;Intermediate;Apr 22;140599;413820.0;Macmillan;0.0;Young Adult
1998;Ender's Shadow;Orson Scott Card;en;Intermediate;04. Mrz;115521;411.84;Amazon Digital Services,  Inc,;1.0;Science Fiction
2009;Twenties Girl;Sophie Kinsella;en;Intermediate;Mrz 82;119105;2070.85;Random;0.0;Romance
1982;Schindler's Ark;Thomas Keneally;en;Intermediate;Apr 34;108338;2537.9;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1970;The Bluest Eye;Toni Morrison;en;Intermediate;Mrz 99;109944;1219.92;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2009;The White Queen;Philippa Gregory;en;Intermediate;03. Sep;119739;1685040.0;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1965;The Autobiography of Malcolm X;Malcolm X, Alex Haley;en;Intermediate;Apr 29;124805;2025940.0;Random;1.0;Biography
1989;Preludes & Nocturnes;Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger;en;Intermediate;04. Mrz;122540;2251.8;Amazon Digital Services,  Inc,;0.0;Graphic Novel
1999;Seabiscuit;Laura Hillenbrand;en;Intermediate;04. Feb;111497;1007.5;Harper;1.0;Biography
2003;Shutter Island;Dennis Lehane;en;Intermediate;04. Jul;113718;4270.65;Penguin;1.0;Thriller
2011;In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin;Erik Larson;en;Intermediate;Mrz 81;110481;392040.0;Amazon Digital Services,  Inc,;0.0;Nonfiction
2014;Cress;Marissa Meyer;en;Famous;Apr 46;162069;1154140.0;Macmillan;0.0;Young Adult
2010;Just Kids;Patti Smith;en;Intermediate;Apr 14;106542;766.15;Random;0.0;Biography
1997;The art Book;Phaidon Press;en;Intermediate;Mrz 79;102746;3060170.0;Penguin;0.0;Adventure
2001;Jemima J;Jane Green;en;Intermediate;Mrz 62;101436;758.19;Amazon Digital Services,  Inc,;0.0;Nonfiction
1996;A Fine Balance;Rohinton Mistry;en;Intermediate;Apr 34;99252;1136.2;Simon and Schuster Digital Sales Inc;0.0;Historical Fiction
1987;Calvin and Hobbes;Bill Watterson, G,B, Trudeau;en;Famous;Apr 61;117788;1886220.0;Penguin;0.0;Graphic Novel
2006;Specials;Scott Westerfeld;en;Intermediate;Mrz 77;139168;1124240.0;Amazon Digital Services,  Inc,;0.0;Young Adult
2009;Hunted;P,C, Cast, Kristin Cast;en;Intermediate;Mrz 93;138103;1871.25;Random;0.0;Young Adult
2006;For One More Day;Mitch Albom;en;Intermediate;04. Sep;102193;1488.27;Amazon Digital Services,  Inc,;1.0;Nonfiction
1989;Clear and Present Danger;Tom Clancy;en;Intermediate;04. Aug;105317;1115270.0;Hachette;1.0;Thriller
1996;Falling Up;Shel Silverstein;en;Intermediate;Apr 33;111779;366.3;Amazon Digital Services,  Inc,;0.0;Children’s
2010;Sh*t My Dad Says;Justin Halpern;en;Intermediate;Mrz 98;102560;2775.0;Hachette;1.0;Memoir
1993;Trainspotting;Irvine Welsh, Eric Lindor Fall;fr;Intermediate;04. Jul;59453;1100320.0;Random;1.0;Nonfiction
1952;Foundation and Empire;Isaac Asimov;en;Intermediate;04. Feb;105595;1094.34;Amazon Digital Services,  Inc,;1.0;Science Fiction
1997;The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book;Miguel Ruiz;en;Intermediate;04. Dez;97016;4388340.0;Penguin;0.0;Biography
2010;House Rules;Jodi Picoult;en;Intermediate;04. Jan;111239;4084.35;Harper;0.0;Nonfiction
1967;From the Mixed-Up Files of Mrs, Basil E, Frankweiler;E,L, Konigsburg;en;Intermediate;Apr 15;134537;1085370.0;Amazon Digital Services,  Inc,;0.0;Children’s
2013;Doctor Sleep;Stephen King;en;Intermediate;04. Jan;95276;357390.0;Amazon Digital Services,  Inc,;1.0;Thriller
1998;About a Boy;Nick Hornby;en;Intermediate;Mrz 79;101999;1079390.0;Penguin;1.0;Nonfiction
2012;On Dublin Street;Samantha Young;en;Intermediate;Apr 24;136761;3905780.0;Random;0.0;Romance
2008;Crazy Love: Overwhelmed by a Relentless God;Francis Chan, Danae Yankoski, Chris Tomlin;en;Intermediate;Apr 15;106351;1064440.0;Macmillan;0.0;Historical Fiction
1960;One Fish, Two Fish, Red Fish, Blue Fish;Dr, Seuss;en;Intermediate;04. Dez;117582;706.45;Simon and Schuster Digital Sales Inc;0.0;Children’s
1987;Watchers;Dean Koontz;en;Intermediate;Apr 16;109595;1049.49;Amazon Digital Services,  Inc,;1.0;Thriller
2009;This Is Where I Leave You;Jonathan Tropper;en;Intermediate;Mrz 88;98645;346.5;Amazon Digital Services,  Inc,;1.0;Nonfiction
2010;Abraham Lincoln: Vampire Hunter;Seth Grahame-Smith;en;Intermediate;03. Jul;106336;344.52;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1999;Fruits Basket;Natsuki Takaya, Alethea Nibley, Athena Nibley;en;Intermediate;Apr 23;118467;1031.55;Simon and Schuster Digital Sales Inc;0.0;Fantasy
2010;Burned: A House of Night Novel;P,C, Cast, Kristin Cast;en;Intermediate;Mrz 98;120763;1019.59;Amazon Digital Services,  Inc,;0.0;Young Adult
1997;Wizard and Glass;Stephen King, Dave McKean;en;Intermediate;Apr 24;105026;1019590.0;Simon and Schuster Digital Sales Inc;1.0;Fantasy
2013;The Circle;Dave Eggers;en;Novice;Mrz 46;109412;3872.6;Penguin;1.0;Dystopian
2007;The Invention of Hugo Cabret;Brian Selznick;en;Intermediate;Apr 23;132159;1686.62;Amazon Digital Services,  Inc,;1.0;Children’s
1932;Brave New World/Brave New World Revisited;Aldous Huxley, Christopher Hitchens;en;Intermediate;Apr 16;108124;1676.64;Amazon Digital Services,  Inc,;1.0;Science Fiction
2003;Ouran High School;Bisco Hatori;en;Excellent;Apr 36;190300;666.65;Harper;1.0;Fantasy
2014;The Good Girl;Mary Kubica;en;Intermediate;Mrz 81;100936;2620720.0;Random;1.0;Thriller
2012;Fallen Too Far (Too Far, #1);Abbi Glines;en;Excellent;Apr 21;138871;2875320.0;Penguin;0.0;Romance
2014;Landline;Rainbow Rowell;en;Intermediate;Mrz 55;113805;1300.74;Amazon Digital Services,  Inc,;0.0;Romance
2008;Tempted;P,C, Cast, Kristin Cast;en;Intermediate;Mrz 96;127387;2759.25;Harper;0.0;Young Adult
2005;No Country for Old Men;Cormac McCarthy;en;Excellent;04. Dez;100513;1611770.0;Simon and Schuster Digital Sales Inc;1.0;Historical Fiction
2009;Wolf Hall;Hilary Mantel;en;Intermediate;Mrz 85;102936;2468490.0;Penguin;1.0;Historical Fiction
1986;Howl's Moving Castle;Diana Wynne Jones;en;Excellent;04. Mrz;123945;950.82;Amazon Digital Services,  Inc,;1.0;Fantasy
2001;Dreamcatcher;Stephen King, William Olivier Desmond;fr;Intermediate;Mrz 59;115855;1576.84;Amazon Digital Services,  Inc,;1.0;Thriller
1989;The Remains of the Day;Kazuo Ishiguro;en;Excellent;04. Jan;105892;1874870.0;Random;1.0;Historical Fiction
2010;The Best of Me;Nicholas Sparks;en;Intermediate;Mrz 91;103915;307890.0;Amazon Digital Services,  Inc,;1.0;Romance
2011;The Sense of an Ending;Julian Barnes;en;Intermediate;03. Jul;94968;306.9;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1982;A is for Alibi;Sue Grafton;en;Intermediate;Mrz 82;116026;616.9;Amazon Digital Services,  Inc,;1.0;Mystery
2009;Shanghai Girls;Lisa See;en;Intermediate;Mrz 87;106729;2152920.0;Penguin;1.0;Historical Fiction
2014;To All the Boys I've Loved Before;Jenny Han;en;Excellent;04. Nov;136938;598.99;Amazon Digital Services,  Inc,;1.0;Young Adult
2000;Persepolis;Marjane Satrapi, Mattias Ripa;en;Excellent;Apr 23;117103;1487020.0;Random;1.0;Graphic Novel
2010;The DUFF: Designated Ugly Fat Friend;Kody Keplinger;en;Intermediate;Mrz 86;136736;1181.04;Amazon Digital Services,  Inc,;1.0;Young Adult
2008;Lock and Key;Sarah Dessen;en;Excellent;04. Jan;120475;885040.0;Amazon Digital Services,  Inc,;0.0;Young Adult
1995;Naked in Death;J,D, Robb;en;Excellent;Apr 13;78028;1772.95;Harper;0.0;Thriller
1994;The Chamber;John Grisham;en;Intermediate;Mrz 76;102715;292.05;Amazon Digital Services,  Inc,;1.0;Thriller
2008;Midnight Sun (Partial Draft);Stephenie Meyer;en;Excellent;04. Mrz;138118;290.07;Amazon Digital Services,  Inc,;0.0;Young Adult
1999;NARUTO ;Masashi Kishimoto, Katy Bridges;en;Excellent;Apr 35;104633;288090.0;Harper;1.0;Fantasy
2012;The Unlikely Pilgrimage of Harold Fry;Rachel Joyce;en;Intermediate;Mrz 89;94012;3694.6;Hachette;1.0;Nonfiction
2012;Every Day;David Levithan;en;Intermediate;Mrz 99;121863;1149120.0;Amazon Digital Services,  Inc,;1.0;Young Adult
1991;Xenocide;Orson Scott Card;en;Intermediate;Mrz 77;104467;1707.15;Simon and Schuster Digital Sales Inc;1.0;Science Fiction
1975;Shogun;James Clavell;en;Excellent;04. Apr;205654;2071560.0;Hachette;1.0;Historical Fiction
2006;Lover Awakened (Black Dagger Brotherhood, #3);J,R, Ward;en;Famous;Apr 45;134249;1412170.0;Simon and Schuster Digital Sales Inc;0.0;Romance
2015;A Court of Thorns and Roses;Sarah J, Maas;en;Excellent;Apr 29;167848;3650190.0;Amazon Digital Services,  Inc,;1.0;Young Adult
1989;Chicka Chicka Boom Boom;Bill Martin Jr,, John Archambault, Lois Ehlert;en;Excellent;Apr 21;105192;1097.25;Simon and Schuster Digital Sales Inc;1.0;Children’s
2009;Smile;Raina Telgemeier;en;Excellent;Apr 19;98628;2618070.0;Harper;0.0;Graphic Novel
1950; Animal Farm & 1984;George Orwell, Christopher Hitchens;en;Excellent;Apr 26;116197;267.3;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1996;The Deep End of the Ocean;Jacquelyn Mitchard;en;Intermediate;Mrz 84;102733;267.3;Amazon Digital Services,  Inc,;1.0;Nonfiction
2001;The Bonesetter's Daughter;Amy Tan;en;Intermediate;Mrz 98;99926;263.34;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1999;Angus, Thongs and Full-Frontal Snogging;Louise Rennison;en;Intermediate;Mrz 74;112733;997.5;Amazon Digital Services,  Inc,;1.0;Young Adult
2012;Mr, Penumbra's 24-Hour Bookstore;Robin Sloan;en;Intermediate;Mrz 75;110552;1719.85;Hachette;0.0;Historical Fiction
1979;Flowers in the Attic;V,C, Andrews;en;Intermediate;Mrz 79;109063;1877820.0;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2016;When Breath Becomes Air;Paul Kalanithi, Abraham Verghese;en;Excellent;Apr 32;116771;1041.39;Amazon Digital Services,  Inc,;0.0;Biography
1990;Maniac Magee;Jerry Spinelli;en;Intermediate;Mrz 86;99831;777.4;Amazon Digital Services,  Inc,;1.0;Children’s
1999;Invisible Monsters;Chuck Palahniuk;en;Intermediate;4.0;54937;771420.0;Simon and Schuster Digital Sales Inc;0.0;Science Fiction
2000;Gathering Blue;Lois Lowry;en;Intermediate;03. Aug;114917;997.5;Amazon Digital Services,  Inc,;0.0;Children’s
1978;The Westing Game;Ellen Raskin;en;Excellent;04. Mrz;117108;997.5;Amazon Digital Services,  Inc,;1.0;Young Adult
2014;Red Rising;Pierce Brown;en;Excellent;Apr 26;104939;246510.0;Amazon Digital Services,  Inc,;1.0;Science Fiction
2008;The Way of Shadows;Brent Weeks;en;Excellent;Apr 15;109236;744510.0;Random;0.0;Fantasy
1988;The Bean Trees;Barbara Kingsolver;en;Intermediate;Mrz 94;105032;1635930.0;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2013;Walking Disaster;Jamie McGuire;en;Excellent;Apr 23;134022;3221.52;Amazon Digital Services,  Inc,;0.0;Romance
2014;Words of Radiance;Brandon Sanderson;en;Famous;Apr 77;73572;741520.0;Harper;0.0;Fantasy
1988;Guess How Much I Love You;Sam McBratney, Anita Jeram;en;Excellent;Apr 36;104690;738.53;Amazon Digital Services,  Inc,;1.0;Children’s
2001;The Fiery Cross;Diana Gabaldon;en;Excellent;Apr 26;103552;1141140.0;Penguin;0.0;Historical Fiction
1978;Night Shift;Stephen King, John D, MacDonald;en;Intermediate;Mrz 96;104248;244530.0;Amazon Digital Services,  Inc,;1.0;Horror
1974;Jaws;Peter Benchley;en;Intermediate;Mrz 96;102574;1227540.0;Simon and Schuster Digital Sales Inc;1.0;Adventure
2005;The History of Love;Nicole Krauss;en;Intermediate;Mrz 91;98379;977.55;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1945;Pippi LÃÂ¥ngstrump;Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn;en;Excellent;04. Nov;123065;977.55;Amazon Digital Services,  Inc,;1.0;Children’s
2006;The Elegance of the Hedgehog;Muriel Barbery, Alison Anderson;en;Intermediate;Mrz 73;195;1698570.0;Hachette;0.0;Historical Fiction
2005;Team of Rivals: The Political Genius of Abraham Lincoln;Doris Kearns Goodwin, Suzanne Toren;en;Excellent;04. Mrz;102923;726570.0;Amazon Digital Services,  Inc,;0.0;Biography
2010;Dead in the Family;Charlaine Harris;en;Intermediate;Mrz 88;127379;1494.45;Amazon Digital Services,  Inc,;0.0;Fantasy
1947;La peste;Albert Camus, Stuart Gilbert;en;Intermediate;Mrz 97;95803;965.58;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1999;The Reptile Room;Lemony Snicket, Brett Helquist;en;Intermediate;Mrz 95;130213;1202590.0;Simon and Schuster Digital Sales Inc;0.0;Young Adult
2012;Brain on Fire;Susannah Cahalan;en;Intermediate;4.0;92849;2566.65;Hachette;1.0;Biography
2007;Wicked Lovely ;Melissa Marr;en;Intermediate;Mrz 69;131034;1197.6;Simon and Schuster Digital Sales Inc;1.0;Young Adult
1941;Curious George;H,A, Rey;en;Excellent;Apr 13;105473;236610.0;Amazon Digital Services,  Inc,;1.0;Children’s
1979;Die unendliche Geschichte;Michael Ende, Ralph Manheim, Roswitha Quadflieg;en;Excellent;Apr 17;109110;953.61;Amazon Digital Services,  Inc,;1.0;Fantasy
1998;A Beautiful Mind;Sylvia Nasar;en;Excellent;04. Dez;98276;1544620.0;Random;1.0;Biography
2008;The Summoning;Kelley Armstrong;en;Excellent;04. Mrz;132285;471.63;Amazon Digital Services,  Inc,;0.0;Fantasy
1985;The Man Who Mistook His Wife for a Hat and Other Clinical Tales;Oliver Sacks;en;Excellent;04. Apr;102419;1182630.0;Random;0.0;Nonfiction
1978;Storm Island;Ken Follett;en;Excellent;Apr 16;93475;708.63;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2000;The Blind Assassin;Margaret Atwood;en;Intermediate;Mrz 95;98464;1885640.0;Harper;0.0;Historical Fiction
2014;Hollow City;Ransom Riggs;en;Excellent;04. Jul;73149;1642.65;Penguin;0.0;Young Adult
1999;House of Sand and Fog;Andre Dubus III;en;Intermediate;Mrz 83;55381;933660.0;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2014;The Girl with All the Gifts;M,R, Carey;en;Intermediate;Mrz 93;99729;463670.0;Simon and Schuster Digital Sales Inc;1.0;Horror
1930;As I Lay Dying;William Faulkner;en;Intermediate;Mrz 72;103547;461680.0;Harper;0.0;Science Fiction
1955;Harold and the Purple Crayon;Crockett Johnson;en;Excellent;Apr 24;107221;925.68;Amazon Digital Services,  Inc,;0.0;Children’s
2006;Lover Eternal (Black Dagger Brotherhood, #2);J,R, Ward;en;Excellent;Apr 35;137558;2460.15;Random;0.0;Romance
1953;Foundation;Isaac Asimov;en;Excellent;Apr 23;579;690690.0;Harper;0.0;Science Fiction
2001;Fool Moon ;Jim Butcher;en;Excellent;04. Apr;111371;687.7;Macmillan;1.0;Historical Fiction
2011;David and Goliath;Malcolm Gladwell;en;Intermediate;03. Sep;90083;2509.3;Random;0.0;Historical Fiction
1989;Guards! Guards!;Terry Pratchett;en;Excellent;Apr 32;108652;1142.71;Amazon Digital Services,  Inc,;1.0;Fantasy
2005;The Year of Magical Thinking;Joan Didion;en;Intermediate;Mrz 86;94590;909.72;Amazon Digital Services,  Inc,;1.0;Biography
2003;We Need to Talk About Kevin;Lionel Shriver;en;Excellent;04. Jul;101343;5902920.0;Harper;1.0;Thriller
1973;Rendezvous with Rama;Arthur C, Clarke;en;Excellent;04. Jun;93151;1468690.0;Amazon Digital Services,  Inc,;1.0;Science Fiction
1988;The Queen of the Damned;Anne Rice;en;Intermediate;Mrz 86;110693;223740.0;Amazon Digital Services,  Inc,;1.0;Horror
1976;The Selfish Gene;Richard Dawkins;en;Excellent;04. Nov;96564;897.75;Amazon Digital Services,  Inc,;0.0;Science Fiction
2001;Year of Wonders: A Novel of the Plague;Geraldine Brooks;en;Intermediate;4.0;104283;221.76;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1992;The Black Echo;Michael Connelly;en;Excellent;04. Aug;98591;1274560.0;Amazon Digital Services,  Inc,;0.0;Thriller
1938;Anthem;Ayn Rand;en;Intermediate;Mrz 62;95620;1112.77;Amazon Digital Services,  Inc,;0.0;Science Fiction
2011;Gabriel's Inferno;Sylvain Reynard;en;Excellent;04. Feb;119633;1781770.0;Penguin;0.0;Romance
1978;Cloudy with a Chance of Meatballs;Judi Barrett, Ron Barrett;en;Excellent;Apr 15;104677;1662780.0;Penguin;1.0;Children’s
2010;Major Pettigrew's Last Stand;Helen Simonson;en;Intermediate;Mrz 87;97745;660790.0;Simon and Schuster Digital Sales Inc;1.0;Science Fiction
2009;Vision in White;Nora Roberts;en;Excellent;04. Jan;103933;437.8;Random;0.0;Romance
2006;The Tenth Circle;Jodi Picoult;en;Novice;Mrz 48;99170;3955.6;Amazon Digital Services,  Inc,;0.0;Thriller
2011;The Throne of Fire;Rick Riordan;en;Excellent;04. Feb;116360;2067360.0;Amazon Digital Services,  Inc,;0.0;Young Adult
2005;Old Man's War;John Scalzi;en;Excellent;Apr 23;97653;1311810.0;Macmillan;0.0;Science Fiction
1992;Gerald's Game;Stephen King;en;Famous;Mrz 47;100158;433820.0;Amazon Digital Services,  Inc,;1.0;Thriller
1996;Two for the Dough;Janet Evanovich;en;Excellent;04. Nov;116171;2177820.0;Amazon Digital Services,  Inc,;0.0;Thriller
1931;The Joy of Cooking;Irma S, Rombauer, Marion Rombauer Becker, Ethan Becker;en;Excellent;Apr 14;102348;1864030.0;Hachette;0.0;Nonfiction
1974;The Forever War;Joe Haldeman;en;Excellent;Apr 15;87636;214830.0;Amazon Digital Services,  Inc,;0.0;Science Fiction
1994;Insomnia;Stephen King, Bettina Blanch Tyroller;es;Intermediate;Mrz 79;100972;2311.05;Random;1.0;Mystery
2003;Reading Lolita in Tehran: A Memoir in Books;Azar Nafisi;en;Intermediate;Mrz 57;94696;1072.85;Amazon Digital Services,  Inc,;0.0;Memoir
2006;The Blade Itself;Joe Abercrombie;en;Excellent;Apr 14;97501;1717.85;Random;0.0;Fantasy
2002;The Arctic Incident;Eoin Colfer;en;Intermediate;Mrz 94;108031;642.85;Amazon Digital Services,  Inc,;1.0;Young Adult
1993;The Shipping News;Annie Proulx;en;Intermediate;Mrz 83;103151;1281.86;Amazon Digital Services,  Inc,;1.0;Nonfiction
2015;All the Bright Places;Jennifer Niven,;en;Excellent;Apr 19;613419;423870.0;Harper;1.0;Young Adult
1997;Dear  Dead;Kathy Reichs;en;Intermediate;Mrz 86;154100;1062870.0;Hachette;1.0;Mystery
2007;The Alchemyst: The Secrets of The Immortal Nicholas Flamel;Michael Scott;en;Intermediate;Mrz 84;58396;1693880.0;Penguin;0.0;Young Adult
2011;The Marriage Plot;Jeffrey Eugenides;en;Novice;Mrz 42;90551;1080320.0;Random;0.0;Historical Fiction
1998;Hija de la fortuna;Isabel Allende, Margaret Sayers Peden;en;Intermediate;Mrz 89;89770;630.89;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2015;Luckiest Girl Alive;Jessica Knoll;en;Novice;Mrz 48;82504;2007.6;Simon and Schuster Digital Sales Inc;1.0;Historical Fiction
2004;Crank (Crank, #1);Ellen Hopkins;en;Excellent;Apr 16;104168;833.91;Amazon Digital Services,  Inc,;1.0;Young Adult
2012;The Raven Boys;Maggie Stiefvater;en;Excellent;04. Mai;121727;206910.0;Amazon Digital Services,  Inc,;1.0;Young Adult
1954;I Am Legend and Other Stories;Richard Matheson;en;Intermediate;Mrz 99;98795;621.92;Amazon Digital Services,  Inc,;1.0;Science Fiction
2008;Olive Kitteridge;Elizabeth Strout;en;Intermediate;Mrz 78;85019;205.92;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2014;Not that Kind of Girl;Lena Dunham, Joana Avillez;en;Novice;Mrz 33;88251;1245920.0;Random;0.0;Nonfiction
2001;Good to Great: Why Some Companies Make the Leap,,, and Others Don't;James C, Collins;en;Excellent;04. Apr;85277;1032.93;Amazon Digital Services,  Inc,;0.0;Nonfiction
2009;Fire;Kristin Cashore;en;Excellent;04. Dez;98180;2457.95;Penguin;0.0;Young Adult
1952;En attendant Godot;Samuel Beckett;en;Intermediate;Mrz 81;98950;1621970.0;Penguin;1.0;Fantasy
2003;Wolves of the Calla;Stephen King, Bernie Wrightson;en;Excellent;Apr 17;98182;603.98;Amazon Digital Services,  Inc,;0.0;Adventure
2000;His Dark Materials;Philip Pullman;en;Excellent;Apr 25;88227;603.98;Amazon Digital Services,  Inc,;1.0;Young Adult
2012;The Edge of Never;J,A, Redmerski;en;Excellent;Apr 26;117508;600990.0;Simon and Schuster Digital Sales Inc;0.0;Young Adult
2013;Reconstructing Amelia;Kimberly McCreight;en;Intermediate;Mrz 82;86965;198990.0;Amazon Digital Services,  Inc,;0.0;Thriller
2014;The One Plus One;Jojo Moyes;en;Intermediate;Mrz 94;87412;399990.0;Hachette;0.0;Science Fiction
1998;The Hours;Michael Cunningham;en;Intermediate;Mrz 91;97462;500.0;Harper;1.0;Historical Fiction
2012;Wallbanger;Alice Clayton;en;Excellent;04. Jan;134805;1898.0;Amazon Digital Services,  Inc,;0.0;Romance
1997;Holidays on Ice;David Sedaris;en;Intermediate;Mrz 95;82591;595.01;Amazon Digital Services,  Inc,;0.0;Satire
1996;Desperation;Stephen King;en;Intermediate;03. Aug;94821;196020.0;Amazon Digital Services,  Inc,;1.0;Horror
2011;Passion;Lauren Kate;en;Intermediate;Mrz 89;119735;790.02;Amazon Digital Services,  Inc,;0.0;Young Adult
2012;The Kill Order;James Dashner;en;Intermediate;Mrz 69;96568;1059860.0;Random;0.0;Science Fiction
2011;Angelfall;Susan Ee;en;Excellent;Apr 19;73886;194.04;Amazon Digital Services,  Inc,;0.0;Young Adult
2001;Empire Falls;Richard Russo;en;Intermediate;Mrz 91;90811;586.04;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1993;The Fires of Heaven;Robert Jordan;en;Excellent;Apr 13;93227;1480.05;Random;0.0;Fantasy
2014;I'll Give You the Sun;Jandy Nelson;en;Excellent;Apr 14;140937;583.05;Simon and Schuster Digital Sales Inc;0.0;Young Adult
1999;Survivor;Chuck Palahniuk;en;Intermediate;Mrz 93;49551;192060.0;Harper;0.0;Historical Fiction
2007;Shopaholic and Baby;Sophie Kinsella;en;Intermediate;Mrz 77;98130;191.07;Amazon Digital Services,  Inc,;0.0;Romance
2004;The Dark Tower;Stephen King;en;Excellent;Apr 27;93296;770.07;Amazon Digital Services,  Inc,;1.0;Fantasy
2009;Twilight Director's Notebook;Catherine Hardwicke;en;Excellent;04. Feb;88847;1726080.0;Harper;0.0;Nonfiction
2001;Shopaholic Abroad;Sophie Kinsella;en;Intermediate;Mrz 75;93498;1468790.0;Penguin;0.0;Romance
1984;Surely You're Joking, Mr, Feynman! Adventures of a Curious Character;Richard Feynman;en;Excellent;Apr 29;91625;948.1;Amazon Digital Services,  Inc,;0.0;Science Fiction
2010;Linger;Maggie Stiefvater;en;Intermediate;Mrz 91;125363;376.11;Amazon Digital Services,  Inc,;0.0;Young Adult
2009;The Gathering Storm;Robert Jordan, Brandon Sanderson;en;Excellent;Apr 34;94095;750.12;Amazon Digital Services,  Inc,;0.0;Fantasy
2012;Point of Retreat;Colleen Hoover;en;Excellent;04. Mrz;109344;185.13;Amazon Digital Services,  Inc,;0.0;Young Adult
1997;The Partner;John Grisham;en;Intermediate;Mrz 89;86870;746.13;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1973;The Hobbit and The Lord of the Rings;J,R,R, Tolkien;en;Famous;Apr 59;90907;184140.0;Amazon Digital Services,  Inc,;1.0;Adventure
2009;Thoughtless;S,C, Stephens;en;Excellent;04. Dez;90483;1114140.0;Penguin;0.0;Young Adult
1986;Presumed Innocent;Scott Turow;en;Excellent;04. Jan;91774;553.15;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1989;The Dark Half;Stephen King;en;Intermediate;Mrz 74;94624;550160.0;Macmillan;1.0;Thriller
2006;Cleopatra: A Life;Stacy Schiff;en;Intermediate;Mrz 62;73994;181.17;Amazon Digital Services,  Inc,;0.0;Biography
2005;The World Is Flat: A Brief History of the Twenty-first Century;Thomas L, Friedman;en;Intermediate;Mrz 66;78271;544180.0;Hachette;0.0;Nonfiction
2013;Steelheart;Brandon Sanderson;en;Excellent;Apr 16;76261;1243060.0;Penguin;0.0;Young Adult
1995;Rainbow Fish and the big Blue Whale;Marcus Pfister, J, Alison James;en;Excellent;Apr 15;95421;903.19;Amazon Digital Services,  Inc,;0.0;Children’s
2009;The Happiness Project;Gretchen Rubin;en;Intermediate;Mrz 57;94456;177210.0;Amazon Digital Services,  Inc,;0.0;Nonfiction
1962;The Man in the High Castle;Philip K, Dick;en;Intermediate;Mrz 66;84180;2280460.0;Hachette;1.0;Historical Fiction
1974;Helter Skelter: The True Story of The Manson Murders;Vincent Bugliosi, Curt Gentry;en;Intermediate;4.0;92158;176.22;Amazon Digital Services,  Inc,;1.0;Nonfiction
2012;Shadow of Night;Deborah Harkness;en;Excellent;04. Apr;97925;1242440.0;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2014;Leaving Time;Jodi Picoult;en;Intermediate;Mrz 94;76553;175230.0;Amazon Digital Services,  Inc,;0.0;Romance
2006;Moon Called;Patricia Briggs;en;Excellent;Apr 18;129150;350.24;Amazon Digital Services,  Inc,;0.0;Fantasy
2006;Blue Bloods;Melissa de la Cruz;en;Intermediate;Mrz 68;116687;702240.0;Amazon Digital Services,  Inc,;0.0;Young Adult
1994;The Alienist;Caleb Carr;en;Excellent;04. Mai;96981;1230240.0;Harper;1.0;Thriller
2015;Between the World and Me;Ta-Nehisi Coates;en;Famous;04. Apr;74218;523.25;Amazon Digital Services,  Inc,;0.0;Nonfiction
2009;The Big Short: Inside the Doomsday Machine;Michael   Lewis;en;Excellent;Apr 26;37090;1216260.0;Simon and Schuster Digital Sales Inc;1.0;Nonfiction
