Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre;Gross_Sales;Publisher_Revenue_Verlagumsatz;Sale_Price;Sale_Rank;Publisher;Units_Sold;Verfilmt?;;
2009;This Is Where I Leave You;Jonathan Tropper;eng;Intermediate;32203;98645;genre fiction;346.5;0.0;0.99;290;Amazon Digital Services,  Inc.;350;Ja (Film 2014);;
2010;Abraham Lincoln: Vampire Hunter;Seth Grahame-Smith;en-US;Intermediate;45841;106336;genre fiction;344.52;0.0;0.99;291;Amazon Digital Services,  Inc.;348;Ja (Film 2012);;
1999;ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1;Natsuki Takaya, Alethea Nibley, Athena Nibley;eng;Intermediate;45017;118467;nonfiction;1031.55;618.93;36.192,00;293;Simon and Schuster Digital Sales Inc;345;Nein;;
1623;The Tempest;William Shakespeare;en-US;Intermediate;45872;125178;genre fiction;1025.57;0.0;36.192,00;294;Amazon Digital Services,  Inc.;343;Ja (mehrere);;
2010;Burned: A House of Night Novel;P.C. Cast, Kristin Cast;eng;Intermediate;35855;120763;genre fiction;1019.59;0.0;36.192,00;295;Amazon Digital Services,  Inc.;341;Nein;;
1997;Wizard and Glass;Stephen King, Dave McKean;eng;Intermediate;45383;105026;fiction;1019.59;611.754;36.192,00;295;Simon and Schuster Digital Sales Inc;341;In Entwicklung (�The Dark Tower�);;
2013;The Circle;Dave Eggers;eng;Novice;16862;109412;genre fiction;3872.6;2323.56;14.550,00;296;Penguin Group (USA) LLC;340;Ja (Film 2017);;
2007;The Invention of Hugo Cabret;Brian Selznick;eng;Intermediate;45017;132159;genre fiction;1686.62;0.0;36.251,00;297;Amazon Digital Services,  Inc.;338;Ja (Film �Hugo� 2011);;
1932;Brave New World/Brave New World Revisited;Aldous Huxley, Christopher Hitchens;eng;Intermediate;42461;108124;genre fiction;1676.64;0.0;36.251,00;298;Amazon Digital Services,  Inc.;336;Ja (Serie 2020);;
2003;æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1;Bisco Hatori;eng;Excellent;13241;113881;genre fiction;666.65;399.99;36.161,00;299;HarperCollins Publishers;335;erneut: Ja;;
2014;The Good Girl;Mary Kubica;eng;Intermediate;29646;100936;genre fiction;2620.72;1.572.432;36.342,00;303;Random House LLC;328;Ja (Film 2002);;
2012;Fallen Too Far (Too Far, #1);Abbi Glines;eng;Excellent;44287;138871;genre fiction;2875.32;1.725.192;30.164,00;304;Penguin Group (USA) LLC;326;Nein;;
2014;Landline;Rainbow Rowell;eng;Intermediate;20149;113805;genre fiction;1300.74;0.0;36.220,00;304;Amazon Digital Services,  Inc.;326;Nein;;
2008;Tempted;P.C. Cast, Kristin Cast;eng;Intermediate;35125;127387;fiction;2759.25;1655.55;18.111,00;305;HarperCollins Publishers;325;Nein;;
2005;No Country for Old Men;Cormac McCarthy;eng;Excellent;45995;100513;genre fiction;1611.77;967.062;36.251,00;306;Simon and Schuster Digital Sales Inc;323;Ja (Film 2007);;
2009;Wolf Hall;Hilary Mantel;eng;Intermediate;31107;102936;genre fiction;2468.49;1.481.094;25.385,00;307;Penguin Group (USA) LLC;321;Ja (TV-Serie 2015);;
1986;Howl's Moving Castle;Diana Wynne Jones;eng;Excellent;45720;123945;genre fiction;950.82;0.0;36.192,00;309;Amazon Digital Services,  Inc.;318;Ja (Anime 2004);;
2001;Dreamcatcher;Stephen King, William Olivier Desmond;fre;Intermediate;21610;115855;genre fiction;1576.84;0.0;36.251,00;310;Amazon Digital Services,  Inc.;316;Ja (Film 2003);;
1854;Walden;;;;;;;;;;;;;Nein;;
1989;The Remains of the Day;Kazuo Ishiguro;eng;Excellent;45661;105892;nonfiction;1874.87;1.124.922;36.281,00;312;Random House LLC;313;Ja (Film 1993);;
2010;The Best of Me;Nicholas Sparks;en-US;Intermediate;33298;103915;genre fiction;307.89;184.734;0.99;313;Amazon Digital Services,  Inc.;311;Ja (Film 2014);;
2011;The Sense of an Ending;Julian Barnes;eng;Intermediate;45841;94968;genre fiction;306.9;0.0;0.99;314;Amazon Digital Services,  Inc.;310;Ja (Film 2017);;
1982;A is for Alibi;Sue Grafton;en-US;Intermediate;30011;116026;genre fiction;616.9;370.14;36.161,00;314;Amazon Digital Services,  Inc.;310;In Entwicklung (Serie);;
-430;ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚;Sophocles, J.E. Thomas;eng;Intermediate;24532;119496;genre fiction;2460.92;1.476.552;36.342,00;315;Hachette Book Group;308;Nein;;
2009;Shanghai Girls;Lisa See;eng;Intermediate;31837;106729;nonfiction;2152.92;1.291.752;36.312,00;315;Penguin Group (USA) LLC;308;In Entwicklung;;
1908;The Wind in the Willows;Kenneth Grahame, Gillian Avery;eng;Intermediate;35855;124612;genre fiction;10327.3;6196.38;33.86;317;Penguin Group (USA) LLC;305;Ja (mehrere Filme);;
2014;To All the Boys I've Loved Before;Jenny Han;eng;Excellent;45965;136938;nonfiction;598.99;0.0;36.161,00;319;Amazon Digital Services,  Inc.;301;Ja (Film 2018 ff.);;
2000;Persepolis;Marjane Satrapi, Mattias Ripa;eng;Excellent;45017;117103;genre fiction;1487.02;892.212;36.251,00;321;Random House LLC;298;Ja (Animationsfilm 2007);;
1908;A Room with a View;E.M. Forster;eng;Intermediate;33298;109994;genre fiction;891.02;0.0;36.192,00;321;Amazon Digital Services,  Inc.;298;Ja (Film 1985);;
2010;The DUFF: Designated Ugly Fat Friend;Kody Keplinger;en-US;Intermediate;31472;136736;genre fiction;1181.04;0.0;36.220,00;322;Amazon Digital Services,  Inc.;296;Ja (Film 2015);;
2008;Lock and Key;Sarah Dessen;eng;Excellent;45661;120475;nonfiction;885.04;531.024;36.192,00;322;Amazon Digital Services,  Inc.;296;Nein;;
1995;Naked in Death;J.D. Robb;en-US;Excellent;41365;78028;genre fiction;1772.95;1063.77;45.663,00;323;HarperCollins Publishers;295;Nein;;
1994;The Chamber;John Grisham;eng;Intermediate;27820;102715;genre fiction;292.05;0.0;0.99;323;Amazon Digital Services,  Inc.;295;Ja (Film 1996);;
2008;Midnight Sun (Partial Draft);Stephenie Meyer;eng;Excellent;45720;138118;genre fiction;290.07;0.0;0.99;324;Amazon Digital Services,  Inc.;293;Nein (Partial Draft);;
1999;NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ;Masashi Kishimoto, Katy Bridges;eng;Excellent;12875;104633;nonfiction;288.09;172.854;0.99;325;HarperCollins Christian Publishing;291;Ja (Anime und Filme);;
2012;The Unlikely Pilgrimage of Harold Fry;Rachel Joyce;eng;Intermediate;32568;94012;genre fiction;3694.6;2216.76;27.364,00;326;Hachette Book Group;290;Ja (Film 2023);;
2012;Every Day;David Levithan;eng;Intermediate;36220;121863;genre fiction;1149.12;689.472;36.220,00;327;Amazon Digital Services,  Inc.;288;Ja (Film 2018);;
1991;Xenocide;Orson Scott Card;eng;Intermediate;28185;104467;genre fiction;1707.15;1024.29;36.281,00;329;Simon and Schuster Digital Sales Inc;285;In Entwicklung (Fortsetzung zu �Ender's Game�);;
1596;The Merchant of Venice;William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine;eng;Intermediate;28550;115621;genre fiction;427.5;0.0;45.778,00;329;Amazon Digital Services,  Inc.;285;Ja (verschiedene Adaptionen);;
1975;ShÅgun;James Clavell;eng;Excellent;13606;104339;genre fiction;2071.56;1.242.936;11.871,00;330;Hachette Book Group;283;Ja (TV-Miniserie 2024);;
2006;Lover Awakened (Black Dagger Brotherhood, #3);J.R. Ward;eng;Famous;16528;134249;genre fiction;1412.17;847.302;36.251,00;330;Simon and Schuster Digital Sales Inc;283;Nein;;
2015;A Court of Thorns and Roses;Sarah J. Maas;eng;Excellent;47209;167848;nonfiction;3650.19;2.190.114;36.495,00;331;Amazon Digital Services,  Inc.;281;In Entwicklung (Amazon-Serie angek�ndigt);;
2012;;E.L. James;;Excellent;41365;76876;genre fiction;1387.22;0.0;36.251,00;333;Amazon Digital Services,  Inc.;278;Ja (Filmreihe);;
1989;Chicka Chicka Boom Boom;Bill Martin Jr., John Archambault, Lois Ehlert;eng;Excellent;44287;105192;fiction;1097.25;658.35;36.220,00;335;Simon and Schuster Digital Sales Inc;275;Ja (Kurzfilm, TV-Adaptionen);;
2009;Smile;Raina Telgemeier;eng;Excellent;43556;98628;genre fiction;2618.07;1.570.842;21.794,00;336;HarperCollins Publishers;273;Nein;;
1950; Animal Farm & 1984;George Orwell, Christopher Hitchens;eng;Excellent;46113;116197;genre fiction;267.3;0.0;0.99;338;Amazon Digital Services,  Inc.;270;Tierfarm: Ja (Animationsfilme/Serien), 1984: Ja (Mehrere Verfilmungen);;
1996;The Deep End of the Ocean;Jacquelyn Mitchard;en-US;Intermediate;30742;102733;genre fiction;267.3;0.0;0.99;338;Amazon Digital Services,  Inc.;270;Ja (TV-Film 1999);;
2001;The Bonesetter's Daughter;Amy Tan;en-US;Intermediate;35855;99926;nonfiction;263.34;0.0;0.99;340;Amazon Digital Services,  Inc.;266;Nein;;
1999;Angus, Thongs and Full-Frontal Snogging;Louise Rennison;eng;Intermediate;27089;112733;genre fiction;997.5;0.0;27.454,00;340;Amazon Digital Services,  Inc.;266;Ja (Film 2008);;
2012;Mr. Penumbra's 24-Hour Bookstore;Robin Sloan;eng;Intermediate;27454;110552;genre fiction;1719.85;1031.91;18.050,00;341;Hachette Book Group;265;Nein;;
1979;Flowers in the Attic;V.C. Andrews;eng;Intermediate;28915;109063;children;1877.82;1.126.692;41.821,00;342;Amazon Digital Services,  Inc.;263;Ja (Film 1987, weitere Adaptionen);;
2016;When Breath Becomes Air;Paul Kalanithi, Abraham Verghese;eng;Excellent;11780;116771;genre fiction;1041.39;0.0;36.220,00;343;Amazon Digital Services,  Inc.;261;Nein;;
1990;Maniac Magee;Jerry Spinelli;eng;Intermediate;31472;99831;genre fiction;777.4;0.0;36.192,00;344;Amazon Digital Services,  Inc.;260;Ja (TV-Film 2003);;
1999;Invisible Monsters;Chuck Palahniuk;eng;Intermediate;4.0;54937;genre fiction;771.42;462.852;36.192,00;345;Simon and Schuster Digital Sales Inc;258;Nein;;
1601;Twelfth Night;;;;;;;;;;;;;Ja (verschiedene Film-/Theaterfassungen);;
2000;Gathering Blue;Lois Lowry;eng;Intermediate;45872;114917;genre fiction;997.5;0.0;36.220,00;350;Amazon Digital Services,  Inc.;250;Nein;;
1978;The Westing Game;Ellen Raskin;eng;Excellent;45720;117108;genre fiction;997.5;598.5;36.220,00;350;Amazon Digital Services,  Inc.;250;Ja (TV-Film 1997);;
2014;Red Rising;Pierce Brown;eng;Excellent;46113;104939;genre fiction;246.51;147.906;0.99;351;Amazon Digital Services,  Inc.;249;In Entwicklung (Serie geplant);;
2008;The Way of Shadows;Brent Weeks;en-US;Excellent;42095;109236;genre fiction;744.51;446.706;36.192,00;351;Random House LLC;249;Nein;;
1988;The Bean Trees;Barbara Kingsolver;eng;Intermediate;34394;105032;children;1635.93;981.558;20.972,00;352;Amazon Digital Services,  Inc.;249;Ja (TV-Film 2001);;
2013;Walking Disaster;Jamie McGuire;eng;Excellent;45017;134022;genre fiction;3221.52;0.0;36.495,00;353;Amazon Digital Services,  Inc.;248;Nein;;
2014;Words of Radiance;Brandon Sanderson;eng;Famous;28216;73572;genre fiction;741.52;444.912;36.192,00;354;HarperCollins Publishers;248;Nein;;
1988;Guess How Much I Love You;Sam McBratney, Anita Jeram;en-US;Excellent;13241;104690;genre fiction;738.53;0.0;36.192,00;355;Amazon Digital Services,  Inc.;247;Ja (Animationsfilm 2012);;
2001;The Fiery Cross;Diana Gabaldon;eng;Excellent;46113;103552;genre fiction;1141.14;684.684;22.737,00;356;Penguin Group (USA) LLC;247;Nein;;
1978;Night Shift;Stephen King, John D. MacDonald;en-GB;Intermediate;35125;104248;genre fiction;244.53;146.718;0.99;356;Amazon Digital Services,  Inc.;247;Ja (Filme/Sammlungen);;
1974;Jaws;Peter Benchley;eng;Intermediate;35125;102574;genre fiction;1227.54;736.524;36.251,00;357;Simon and Schuster Digital Sales Inc;246;Ja (Film 1975);;
2005;The History of Love;Nicole Krauss;eng;Intermediate;33298;98379;genre fiction;977.55;0.0;36.220,00;359;Amazon Digital Services,  Inc.;245;Nein;;
1945;Pippi LÃ¥ngstrump;Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn;eng;Excellent;45965;123065;genre fiction;977.55;586.53;36.220,00;360;Amazon Digital Services,  Inc.;245;Ja (mehrere Verfilmungen � Film + Serie);;
2006;L'Ã©lÃ©gance du hÃ©risson;Muriel Barbery, Alison Anderson;eng;Intermediate;26724;101669;genre fiction;1698.57;1.019.142;36.312,00;363;Hachette Book Group;243;Nein;;
2005;Team of Rivals: The Political Genius of Abraham Lincoln;Doris Kearns Goodwin, Suzanne Toren;eng;Excellent;45720;102923;genre fiction;726.57;435.942;36.192,00;364;Amazon Digital Services,  Inc.;243;Nein;;
2010;Dead in the Family;Charlaine Harris;en-US;Intermediate;32203;127379;genre fiction;1494.45;896.67;42.156,00;364;Amazon Digital Services,  Inc.;243;Nein;;
1947;La peste;Albert Camus, Stuart Gilbert;en-US;Intermediate;35490;95803;genre fiction;965.58;0.0;36.220,00;366;Amazon Digital Services,  Inc.;242;Ja (Film 1992 franz�sisch: �La Peste�);;
1999;The Reptile Room;Lemony Snicket, Brett Helquist;eng;Intermediate;34759;130213;genre fiction;1202.59;721.554;36.251,00;367;Simon and Schuster Digital Sales Inc;241;Nein;;
2012;Brain on Fire;Susannah Cahalan;eng;Intermediate;4.0;92849;genre fiction;2566.65;1539.99;24.016,00;368;Hachette Book Group;241;Ja (Film 2016);;
2007;Wicked Lovely ;Melissa Marr;en-US;Intermediate;25263;131034;genre fiction;1197.6;718.56;36.251,00;370;Simon and Schuster Digital Sales Inc;240;In Entwicklung (Serie geplant);;
1941;Curious George;H.A. Rey;en-CA;Excellent;41365;105473;genre fiction;236.61;141.966;0.99;371;Amazon Digital Services,  Inc.;239;Ja (Animationsserien & Filme);;
1979;Die unendliche Geschichte;Michael Ende, Ralph Manheim, Roswitha Quadflieg;eng;Excellent;42826;109110;genre fiction;953.61;0.0;36.220,00;372;Amazon Digital Services,  Inc.;239;Ja (Film 1984, Serie 2009);;
1998;A Beautiful Mind;Sylvia Nasar;en-GB;Excellent;45995;98276;genre fiction;1544.62;926.772;18.050,00;373;Random House LLC;238;Ja (Film 2001);;
1906;The Jungle;Upton Sinclair, Earl Lee, Kathleen DeGrave;eng;Intermediate;26359;97468;genre fiction;1419.63;851.778;36.281,00;375;Random House LLC;237;Nein;;
2008;The Summoning;Kelley Armstrong;en-US;Excellent;45720;132285;genre fiction;471.63;0.0;36.161,00;376;Amazon Digital Services,  Inc.;237;Nein;;
1985;The Man Who Mistook His Wife for a Hat and Other Clinical Tales;Oliver Sacks;en-US;Excellent;45751;102419;nonfiction;1182.63;709.578;36.251,00;376;Random House LLC;237;Nein;;
1978;Storm Island;Ken Follett;en-US;Excellent;42461;93475;fiction;708.63;0.0;36.192,00;376;Amazon Digital Services,  Inc.;237;Nein;;
2000;The Blind Assassin;Margaret Atwood;eng;Intermediate;34759;98464;nonfiction;1885.64;1.131.384;36.342,00;378;HarperCollins Christian Publishing;236;Nein;;
2014;Hollow City;Ransom Riggs;eng;Excellent;45842;73149;genre fiction;1642.65;985.59;36.312,00;380;Penguin Group (USA) LLC;235;Nein;;
1999;House of Sand and Fog;Andre Dubus III;eng;Intermediate;30376;55381;genre fiction;933.66;560.196;36.220,00;381;Amazon Digital Services,  Inc.;234;Ja (Film 2003);;
2014;The Girl with All the Gifts;M.R. Carey;eng;Intermediate;34029;99729;genre fiction;463.67;278.202;36.161,00;383;Simon and Schuster Digital Sales Inc;233;Ja (Film 2016);;
1930;As I Lay Dying;William Faulkner;eng;Intermediate;26359;103547;nonfiction;461.68;277.008;36.161,00;385;HarperCollins Publishers;6264;Nein;;
1955;Harold and the Purple Crayon;Crockett Johnson;eng;Excellent;45383;107221;genre fiction;925.68;0.0;36.220,00;385;Amazon Digital Services,  Inc.;6264;Nein;;
2006;Lover Eternal (Black Dagger Brotherhood, #2);J.R. Ward;eng;Excellent;12875;137558;nonfiction;2460.15;1476.09;24.016,00;387;Random House LLC;6237;Nein;;
1953;;Isaac Asimov;eng;Excellent;45017;96865;nonfiction;690.69;414.414;36.192,00;388;HarperCollins Publishers;6237;Nein;;
2001;Fool Moon ;Jim Butcher;eng;Excellent;45751;111371;genre fiction;687.7;412.62;36.192,00;389;Macmillan;6210;Ja (Teil der �Dresden Files�-Serie);;
2011;David and Goliath;Malcolm Gladwell;eng;Intermediate;45903;90083;nonfiction;2509.3;1505.58;33.512,00;389;Random House LLC;6210;Nein;;
2002;é‹¼ã®éŒ¬é‡‘è¡“å¸« 1;Hiromu Arakawa, Akira Watanabe;eng;Famous;17989;93990;genre fiction;226.71;0.0;0.99;391;Amazon Digital Services,  Inc.;6183;;;
1989;Guards! Guards!;Terry Pratchett;eng;Excellent;11780;108652;genre fiction;1142.71;0.0;36.251,00;392;Amazon Digital Services,  Inc.;6183;In Entwicklung (Pratchett-Verfilmung geplant);;
2005;The Year of Magical Thinking;Joan Didion;eng;Intermediate;31472;94590;genre fiction;909.72;0.0;36.220,00;393;Amazon Digital Services,  Inc.;6156;Ja (TV-Film 2014);;
2003;We Need to Talk About Kevin;Lionel Shriver;eng;Excellent;45842;101343;genre fiction;5902.92;3.541.752;25.89;393;HarperCollins Publishers;6156;Ja (Film 2011);;
1973;Rendezvous with Rama;Arthur C. Clarke;eng;Excellent;45812;93151;genre fiction;1468.69;881.214;17.319,00;395;Amazon Digital Services,  Inc.;6129;Ja (TV-Miniserie 2023);;
1988;The Queen of the Damned;Anne Rice;eng;Intermediate;31472;110693;genre fiction;223.74;134.244;0.99;397;Amazon Digital Services,  Inc.;6102;Ja (Film 2002);;
1920;The Age of Innocence;Edith Wharton, Maureen Howard;eng;Intermediate;34029;102646;genre fiction;1188.76;713.256;46.143,00;398;Amazon Digital Services,  Inc.;6102;Ja (Film 1993);;
1976;The Selfish Gene;Richard Dawkins;eng;Excellent;45965;96564;genre fiction;897.75;538.65;36.220,00;400;Amazon Digital Services,  Inc.;6075;Nein;;
2001;Year of Wonders: A Novel of the Plague;Geraldine Brooks;eng;Intermediate;4.0;104283;genre fiction;221.76;0.0;0.99;401;Amazon Digital Services,  Inc.;6048;Nein;;
1992;The Black Echo;Michael Connelly;eng;Excellent;45873;98591;nonfiction;1274.56;764.736;25.324,00;401;Amazon Digital Services,  Inc.;6048;Nein;;
1938;Anthem;Ayn Rand;eng;Intermediate;22706;95620;genre fiction;1112.77;0.0;36.251,00;403;Amazon Digital Services,  Inc.;6021;Nein;;
2011;Gabriel's Inferno;Sylvain Reynard;eng;Excellent;45692;119633;genre fiction;1781.77;1.069.062;36.342,00;404;Penguin Group (USA) LLC;6021;Nein;;
1978;Cloudy with a Chance of Meatballs;Judi Barrett, Ron Barrett;eng;Excellent;42095;104677;genre fiction;1662.78;997.668;18.080,00;406;Penguin Group (USA) LLC;5994;Ja (Animationsfilm 2009);;
2010;Major Pettigrew's Last Stand;Helen Simonson;eng;Intermediate;31837;97745;genre fiction;660.79;396.474;36.192,00;408;Simon and Schuster Digital Sales Inc;5967;Ja (Film 2017);;
2009;Vision in White;Nora Roberts;eng;Excellent;45661;103933;genre fiction;437.8;262.68;36.161,00;409;Random House LLC;5940;Nein;;
2006;The Tenth Circle;Jodi Picoult;eng;Novice;17593;99170;genre fiction;3955.6;2373.36;17.98;409;Amazon Digital Services,  Inc.;5940;Nein;;
2011;The Throne of Fire;Rick Riordan;eng;Excellent;45692;116360;nonfiction;2067.36;1.240.416;16.316,00;411;Amazon Digital Services,  Inc.;5913;Nein;;
2005;Old Man's War;John Scalzi;eng;Excellent;45017;97653;genre fiction;1311.81;787.086;36.281,00;412;Macmillan;5913;Nein;;
1992;Gerald's Game;Stephen King;eng;Famous;17227;100158;fiction;433.82;260.292;36.161,00;413;Amazon Digital Services,  Inc.;5886;Ja (Netflix-Film 2017);;
1996;Two for the Dough;Janet Evanovich;eng;Excellent;45965;116171;nonfiction;2177.82;1.306.692;36.404,00;414;Amazon Digital Services,  Inc.;5886;Nein;;
1931;The Joy of Cooking;Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker;;Excellent;41730;102348;fiction;1864.03;1.118.418;21.763,00;415;Hachette Book Group;5859;Nein;;
1974;The Forever War;Joe Haldeman;eng;Excellent;42095;87636;genre fiction;214.83;128.898;0.99;416;Amazon Digital Services,  Inc.;5859;Nein;;
1994;Insomnia;Stephen King, Bettina Blanch Tyroller;spa;Intermediate;28915;100972;genre fiction;2311.05;1386.63;24.016,00;416;Random House LLC;5859;Ja (Film 1998);;
2003;Reading Lolita in Tehran: A Memoir in Books;Azar Nafisi;eng;Intermediate;20880;94696;genre fiction;1072.85;0.0;36.251,00;419;Amazon Digital Services,  Inc.;5805;Nein;;
2006;The Blade Itself;Joe Abercrombie;eng;Excellent;41730;97501;genre fiction;1717.85;1030.71;36.342,00;419;Random House LLC;5805;Nein;;
2002;The Arctic Incident;Eoin Colfer;eng;Intermediate;34394;108031;nonfiction;642.85;385.71;36.192,00;420;Amazon Digital Services,  Inc.;5805;Ja (Teil der �Artemis Fowl�-Serie);;
1993;The Shipping News;Annie Proulx;eng;Intermediate;30376;103151;genre fiction;1281.86;0.0;36.281,00;421;Amazon Digital Services,  Inc.;5778;Ja (Film 2001);;
2011;äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•;Marie KondÅ, Cathy Hirano;eng;Intermediate;28185;105063;genre fiction;849.87;509.922;36.220,00;423;Amazon Digital Services,  Inc.;5751;Nein;;
2015;All the Bright Places;Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ;eng;Excellent;43556;132087;genre fiction;423.87;254.322;36.161,00;423;HarperCollins Publishers;5751;Ja (Film 2020);;
1997;DÃ©jÃ  Dead;Kathy Reichs;eng;Intermediate;31472;100369;genre fiction;1062.87;637.722;36.251,00;424;Hachette Book Group;5751;Ja (TV-Serie �Bones�);;
2007;The Alchemyst: The Secrets of The Immortal Nicholas Flamel;Michael Scott;eng;Intermediate;30742;58396;genre fiction;1693.88;1.016.328;36.342,00;425;Penguin Group (USA) LLC;5724;Nein;;
2011;The Marriage Plot;Jeffrey Eugenides;eng;Novice;15401;90551;genre fiction;1080.32;648.192;45.996,00;427;Random House LLC;5697;Nein;;
1998;Hija de la fortuna;Isabel Allende, Margaret Sayers Peden;eng;Intermediate;32568;89770;genre fiction;630.89;0.0;36.192,00;428;Amazon Digital Services,  Inc.;5697;Nein;;
2015;Luckiest Girl Alive;Jessica Knoll;eng;Novice;17593;82504;genre fiction;2007.6;1204.56;20.699,00;430;Simon and Schuster Digital Sales Inc;5670;Ja (Film 2022);;
2004;Crank (Crank, #1);Ellen Hopkins;eng;Excellent;42461;104168;genre fiction;833.91;0.0;36.220,00;431;Amazon Digital Services,  Inc.;5643;Ja (Film 2006);;
2012;The Raven Boys;Maggie Stiefvater;eng;Excellent;45781;121727;nonfiction;206.91;124.146;0.99;432;Amazon Digital Services,  Inc.;5643;In Entwicklung (Serie geplant);;
1954;I Am Legend and Other Stories;Richard Matheson;eng;Intermediate;36220;98795;genre fiction;621.92;0.0;36.192,00;433;Amazon Digital Services,  Inc.;5616;Ja (I Am Legend � Film 2007 + 1964);Richard Matheson;
2008;Olive Kitteridge;Elizabeth Strout;eng;Intermediate;28550;85019;genre fiction;205.92;0.0;0.99;433;Amazon Digital Services,  Inc.;5616;Ja (Miniserie 2014);Elizabeth Strout;
2014;Not that Kind of Girl;Lena Dunham, Joana Avillez;eng;Novice;12114;88251;nonfiction;1245.92;747.552;36.281,00;434;Random House LLC;5616;Nein;Lena Dunham, Joana Avillez;
2001;Good to Great: Why Some Companies Make the Leap... and Others Don't;James C. Collins;eng;Excellent;45751;85277;genre fiction;1032.93;0.0;36.251,00;436;Amazon Digital Services,  Inc.;5589;Nein;James C. Collins;
2009;Fire;Kristin Cashore;en-US;Excellent;45995;98180;genre fiction;2457.95;1474.77;36.465,00;439;Penguin Group (USA) LLC;5535;Nein;Kristin Cashore;
1952;En attendant Godot;Samuel Beckett;eng;Intermediate;29646;98950;genre fiction;1621.97;973.182;36.342,00;444;Penguin Group (USA) LLC;5481;Ja (Adaptionen, Theater & TV);Samuel Beckett;
1906;White Fang;Jack London;eng;Intermediate;34394;100223;genre fiction;1703.17;1.021.902;14.458,00;444;Random House LLC;5481;Ja (mehrere Filme, z.?B. 1991);Jack London;
2003;Wolves of the Calla;Stephen King, Bernie Wrightson;eng;Excellent;42826;98182;genre fiction;603.98;0.0;36.192,00;445;Amazon Digital Services,  Inc.;5454;Nein;Stephen King, Bernie Wrightson;
2000;His Dark Materials;Philip Pullman;eng;Excellent;45748;88227;genre fiction;603.98;0.0;36.192,00;445;Amazon Digital Services,  Inc.;5454;Ja (TV-Serie ab 2019);Philip Pullman;
2012;The Edge of Never;J.A. Redmerski;en-US;Excellent;46113;117508;genre fiction;600.99;360.594;36.192,00;447;Simon and Schuster Digital Sales Inc;5427;Nein;J.A. Redmerski;
2013;Reconstructing Amelia;Kimberly McCreight;eng;Intermediate;30011;86965;nonfiction;198.99;119.394;0.99;447;Amazon Digital Services,  Inc.;5427;Nein;Kimberly McCreight;
2014;The One Plus One;Jojo Moyes;eng;Intermediate;34394;87412;genre fiction;399.99;239.994;36.161,00;448;Hachette Book Group;5427;Nein;Jojo Moyes;
1998;The Hours;Michael Cunningham;en-US;Intermediate;33298;97462;genre fiction;500.0;300.0;45.779,00;449;HarperCollins Publishers;5400;Ja (Film 2002);Michael Cunningham;
2012;Wallbanger;Alice Clayton;eng;Excellent;45661;134805;nonfiction;1898.0;0.0;18.142,00;450;Amazon Digital Services,  Inc.;5400;Nein;Alice Clayton;
1997;Holidays on Ice;David Sedaris;eng;Intermediate;34759;82591;genre fiction;595.01;0.0;36.192,00;452;Amazon Digital Services,  Inc.;5373;Nein;David Sedaris;
1996;Desperation;Stephen King;eng;Intermediate;45872;94821;genre fiction;196.02;117.612;0.99;453;Amazon Digital Services,  Inc.;5346;Ja (TV-Film 2006);Stephen King;
2011;Passion;Lauren Kate;eng;Intermediate;32568;119735;genre fiction;790.02;0.0;36.220,00;454;Amazon Digital Services,  Inc.;5346;Nein;Lauren Kate;
2012;The Kill Order;James Dashner;eng;Intermediate;25263;96568;genre fiction;1059.86;635.916;14.001,00;455;Random House LLC;5319;Nein;James Dashner;
2011;Angelfall;Susan Ee;en-US;Excellent;43556;73886;genre fiction;194.04;0.0;0.99;457;Amazon Digital Services,  Inc.;5292;Nein;Susan Ee;
2001;Empire Falls;Richard Russo;eng;Intermediate;33298;90811;genre fiction;586.04;0.0;36.192,00;458;Amazon Digital Services,  Inc.;5292;Ja (Miniserie 2005);Richard Russo;
1993;The Fires of Heaven;Robert Jordan;en-US;Excellent;41365;93227;children;1480.05;888.03;21.732,00;459;Random House LLC;5265;Nein;Robert Jordan;
2014;I'll Give You the Sun;Jandy Nelson;eng;Excellent;41730;140937;genre fiction;583.05;349.83;36.192,00;460;Simon and Schuster Digital Sales Inc;5265;Nein;Jandy Nelson;
1999;Survivor;Chuck Palahniuk;en-US;Intermediate;34029;49551;genre fiction;192.06;115.236;0.99;462;HarperCollins Publishers;5238;Nein;Chuck Palahniuk;
2007;Shopaholic and Baby;Sophie Kinsella;eng;Intermediate;28185;98130;genre fiction;191.07;0.0;0.99;463;Amazon Digital Services,  Inc.;5211;Nein;Sophie Kinsella;
