Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre;Gross_Sales;Publisher_Revenue_Verlagumsatz;Sale_Price;Sale_Rank;Publisher;Units_Sold;Buchtitel;Verfilmt?;;
2006;Lover Eternal (Black Dagger Brotherhood, #2);J.R. Ward;eng;Excellent;12875;137558;nonfiction;2460.15;1476.09;24.016,00  ;387;Random House LLC;6237;Lover Eternal;Nein;;
1953;;Isaac Asimov;eng;Excellent;45017;96865;nonfiction;690.69;414.414;36.192,00  ;388;HarperCollins Publishers;6237;Isaac Asimov (vermutlich Sammlung);Nein;;
2001;Fool Moon ;Jim Butcher;eng;Excellent;45751;111371;genre fiction;687.7;412.62;36.192,00  ;389;Macmillan;6210;Fool Moon;Ja (Teil der �Dresden Files�-Serie);;
2011;David and Goliath;Malcolm Gladwell;eng;Intermediate;45903;90083;nonfiction;2509.3;1505.58;33.512,00  ;389;Random House LLC;6210;David and Goliath;Nein;;
2002;é‹¼ã®éŒ¬é‡‘è¡“å¸« 1;Hiromu Arakawa, Akira Watanabe;eng;Famous;17989;93990;genre fiction;226.71;0.0;0.99;391;Amazon Digital Services,  Inc.;6183;;;;
1989;Guards! Guards!;Terry Pratchett;eng;Excellent;11780;108652;genre fiction;1142.71;0.0;36.251,00  ;392;Amazon Digital Services,  Inc.;6183;Guards! Guards!;In Entwicklung (Pratchett-Verfilmung geplant);;
2005;The Year of Magical Thinking;Joan Didion;eng;Intermediate;31472;94590;genre fiction;909.72;0.0;36.220,00  ;393;Amazon Digital Services,  Inc.;6156;The Year of Magical Thinking;Ja (TV-Film 2014);;
2003;We Need to Talk About Kevin;Lionel Shriver;eng;Excellent;45842;101343;genre fiction;5902.92;3.541.752;25.89;393;HarperCollins Publishers;6156;We Need to Talk About Kevin;Ja (Film 2011);;
1973;Rendezvous with Rama;Arthur C. Clarke;eng;Excellent;45812;93151;genre fiction;1468.69;881.214;17.319,00  ;395;Amazon Digital Services,  Inc.;6129;Rendezvous with Rama;Ja (TV-Miniserie 2023);;
1988;The Queen of the Damned;Anne Rice;eng;Intermediate;31472;110693;genre fiction;223.74;134.244;0.99;397;Amazon Digital Services,  Inc.;6102;The Queen of the Damned;Ja (Film 2002);;
1920;The Age of Innocence;Edith Wharton, Maureen Howard;eng;Intermediate;34029;102646;genre fiction;1188.76;713.256;46.143,00  ;398;Amazon Digital Services,  Inc.;6102;The Age of Innocence;Ja (Film 1993);;
1976;The Selfish Gene;Richard Dawkins;eng;Excellent;45965;96564;genre fiction;897.75;538.65;36.220,00  ;400;Amazon Digital Services,  Inc.;6075;The Selfish Gene;Nein;;
2001;Year of Wonders: A Novel of the Plague;Geraldine Brooks;eng;Intermediate;4.0;104283;genre fiction;221.76;0.0;0.99;401;Amazon Digital Services,  Inc.;6048;Year of Wonders;Nein;;
1992;The Black Echo;Michael Connelly;eng;Excellent;45873;98591;nonfiction;1274.56;764.736;25.324,00  ;401;Amazon Digital Services,  Inc.;6048;The Black Echo;Nein;;
1938;Anthem;Ayn Rand;eng;Intermediate;22706;95620;genre fiction;1112.77;0.0;36.251,00  ;403;Amazon Digital Services,  Inc.;6021;Anthem;Nein;;
2011;Gabriel's Inferno;Sylvain Reynard;eng;Excellent;45692;119633;genre fiction;1781.77;1.069.062;36.342,00  ;404;Penguin Group (USA) LLC;6021;Gabriel's Inferno;Nein;;
1978;Cloudy with a Chance of Meatballs;Judi Barrett, Ron Barrett;eng;Excellent;42095;104677;genre fiction;1662.78;997.668;18.080,00  ;406;Penguin Group (USA) LLC;5994;Cloudy with a Chance of Meatballs;Ja (Animationsfilm 2009);;
2010;Major Pettigrew's Last Stand;Helen Simonson;eng;Intermediate;31837;97745;genre fiction;660.79;396.474;36.192,00  ;408;Simon and Schuster Digital Sales Inc;5967;Major Pettigrew's Last Stand;Ja (Film 2017);;
2009;Vision in White;Nora Roberts;eng;Excellent;45661;103933;genre fiction;437.8;262.68;36.161,00  ;409;Random House LLC;5940;Vision in White;Nein;;
2006;The Tenth Circle;Jodi Picoult;eng;Novice;17593;99170;genre fiction;3955.6;2373.36;17.98;409;Amazon Digital Services,  Inc.;5940;The Tenth Circle;Nein;;
2011;The Throne of Fire;Rick Riordan;eng;Excellent;45692;116360;nonfiction;2067.36;1.240.416;16.316,00  ;411;Amazon Digital Services,  Inc.;5913;The Throne of Fire;Nein;;
2005;Old Man's War;John Scalzi;eng;Excellent;45017;97653;genre fiction;1311.81;787.086;36.281,00  ;412;Macmillan;5913;Old Man's War;Nein;;
1992;Gerald's Game;Stephen King;eng;Famous;17227;100158;fiction;433.82;260.292;36.161,00  ;413;Amazon Digital Services,  Inc.;5886;Gerald's Game;Ja (Netflix-Film 2017);;
1996;Two for the Dough;Janet Evanovich;eng;Excellent;45965;116171;nonfiction;2177.82;1.306.692;36.404,00  ;414;Amazon Digital Services,  Inc.;5886;Two for the Dough;Nein;;
1931;The Joy of Cooking;Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker;;Excellent;41730;102348;fiction;1864.03;1.118.418;21.763,00  ;415;Hachette Book Group;5859;The Joy of Cooking;Nein;;
1974;The Forever War;Joe Haldeman;eng;Excellent;42095;87636;genre fiction;214.83;128.898;0.99;416;Amazon Digital Services,  Inc.;5859;The Forever War;Nein;;
1994;Insomnia;Stephen King, Bettina Blanch Tyroller;spa;Intermediate;28915;100972;genre fiction;2311.05;1386.63;24.016,00  ;416;Random House LLC;5859;Insomnia;Ja (Film 1998);;
2003;Reading Lolita in Tehran: A Memoir in Books;Azar Nafisi;eng;Intermediate;20880;94696;genre fiction;1072.85;0.0;36.251,00  ;419;Amazon Digital Services,  Inc.;5805;Reading Lolita in Tehran;Nein;;
2006;The Blade Itself;Joe Abercrombie;eng;Excellent;41730;97501;genre fiction;1717.85;1030.71;36.342,00  ;419;Random House LLC;5805;The Blade Itself;Nein;;
2002;The Arctic Incident;Eoin Colfer;eng;Intermediate;34394;108031;nonfiction;642.85;385.71;36.192,00  ;420;Amazon Digital Services,  Inc.;5805;The Arctic Incident;Ja (Teil der �Artemis Fowl�-Serie);;
1993;The Shipping News;Annie Proulx;eng;Intermediate;30376;103151;genre fiction;1281.86;0.0;36.281,00  ;421;Amazon Digital Services,  Inc.;5778;The Shipping News;Ja (Film 2001);;
2011;äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•;Marie KondÅ, Cathy Hirano;eng;Intermediate;28185;105063;genre fiction;849.87;509.922;36.220,00  ;423;Amazon Digital Services,  Inc.;5751;???...?;Nein;;
2015;All the Bright Places;Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ;eng;Excellent;43556;132087;genre fiction;423.87;254.322;36.161,00  ;423;HarperCollins Publishers;5751;All the Bright Places;Ja (Film 2020);;
1997;DÃ©jÃ  Dead;Kathy Reichs;eng;Intermediate;31472;100369;genre fiction;1062.87;637.722;36.251,00  ;424;Hachette Book Group;5751;D�j� Dead;Ja (TV-Serie �Bones�);;
2007;The Alchemyst: The Secrets of The Immortal Nicholas Flamel;Michael Scott;eng;Intermediate;30742;58396;genre fiction;1693.88;1.016.328;36.342,00  ;425;Penguin Group (USA) LLC;5724;The Alchemyst;Nein;;
2011;The Marriage Plot;Jeffrey Eugenides;eng;Novice;15401;90551;genre fiction;1080.32;648.192;45.996,00  ;427;Random House LLC;5697;The Marriage Plot;Nein;;
1998;Hija de la fortuna;Isabel Allende, Margaret Sayers Peden;eng;Intermediate;32568;89770;genre fiction;630.89;0.0;36.192,00  ;428;Amazon Digital Services,  Inc.;5697;Hija de la fortuna;Nein;;
2015;Luckiest Girl Alive;Jessica Knoll;eng;Novice;17593;82504;genre fiction;2007.6;1204.56;20.699,00  ;430;Simon and Schuster Digital Sales Inc;5670;Luckiest Girl Alive;Ja (Film 2022);;
2004;Crank (Crank, #1);Ellen Hopkins;eng;Excellent;42461;104168;genre fiction;833.91;0.0;36.220,00  ;431;Amazon Digital Services,  Inc.;5643;Crank;Ja (Film 2006);;
2012;The Raven Boys;Maggie Stiefvater;eng;Excellent;45781;121727;nonfiction;206.91;124.146;0.99;432;Amazon Digital Services,  Inc.;5643;The Raven Boys;In Entwicklung (Serie geplant);;
1954;I Am Legend and Other Stories;Richard Matheson;eng;Intermediate;36220;98795;genre fiction;621.92;0.0;36.192,00  ;433;Amazon Digital Services,  Inc.;5616;I Am Legend and Other Stories;Ja (I Am Legend � Film 2007 + 1964);Richard Matheson;
2008;Olive Kitteridge;Elizabeth Strout;eng;Intermediate;28550;85019;genre fiction;205.92;0.0;0.99;433;Amazon Digital Services,  Inc.;5616;Olive Kitteridge;Ja (Miniserie 2014);Elizabeth Strout;
2014;Not that Kind of Girl;Lena Dunham, Joana Avillez;eng;Novice;12114;88251;nonfiction;1245.92;747.552;36.281,00  ;434;Random House LLC;5616;Not that Kind of Girl;Nein;Lena Dunham, Joana Avillez;
2001;Good to Great: Why Some Companies Make the Leap... and Others Don't;James C. Collins;eng;Excellent;45751;85277;genre fiction;1032.93;0.0;36.251,00  ;436;Amazon Digital Services,  Inc.;5589;Good to Great;Nein;James C. Collins;
2009;Fire;Kristin Cashore;en-US;Excellent;45995;98180;genre fiction;2457.95;1474.77;36.465,00  ;439;Penguin Group (USA) LLC;5535;Fire (Cashore);Nein;Kristin Cashore;
1952;En attendant Godot;Samuel Beckett;eng;Intermediate;29646;98950;genre fiction;1621.97;973.182;36.342,00  ;444;Penguin Group (USA) LLC;5481;En attendant Godot;Ja (Adaptionen, Theater & TV);Samuel Beckett;
1906;White Fang;Jack London;eng;Intermediate;34394;100223;genre fiction;1703.17;1.021.902;14.458,00  ;444;Random House LLC;5481;White Fang;Ja (mehrere Filme, z.?B. 1991);Jack London;
2003;Wolves of the Calla;Stephen King, Bernie Wrightson;eng;Excellent;42826;98182;genre fiction;603.98;0.0;36.192,00  ;445;Amazon Digital Services,  Inc.;5454;Wolves of the Calla;Nein;Stephen King, Bernie Wrightson;
2000;His Dark Materials;Philip Pullman;eng;Excellent;45748;88227;genre fiction;603.98;0.0;36.192,00  ;445;Amazon Digital Services,  Inc.;5454;His Dark Materials;Ja (TV-Serie ab 2019);Philip Pullman;
2012;The Edge of Never;J.A. Redmerski;en-US;Excellent;46113;117508;genre fiction;600.99;360.594;36.192,00  ;447;Simon and Schuster Digital Sales Inc;5427;The Edge of Never;Nein;J.A. Redmerski;
2013;Reconstructing Amelia;Kimberly McCreight;eng;Intermediate;30011;86965;nonfiction;198.99;119.394;0.99;447;Amazon Digital Services,  Inc.;5427;Reconstructing Amelia;Nein;Kimberly McCreight;
2014;The One Plus One;Jojo Moyes;eng;Intermediate;34394;87412;genre fiction;399.99;239.994;36.161,00  ;448;Hachette Book Group;5427;The One Plus One;Nein;Jojo Moyes;
1998;The Hours;Michael Cunningham;en-US;Intermediate;33298;97462;genre fiction;500.0;300.0;45.779,00  ;449;HarperCollins Publishers;5400;The Hours;Ja (Film 2002);Michael Cunningham;
2012;Wallbanger;Alice Clayton;eng;Excellent;45661;134805;nonfiction;1898.0;0.0;18.142,00  ;450;Amazon Digital Services,  Inc.;5400;Wallbanger;Nein;Alice Clayton;
1997;Holidays on Ice;David Sedaris;eng;Intermediate;34759;82591;genre fiction;595.01;0.0;36.192,00  ;452;Amazon Digital Services,  Inc.;5373;Holidays on Ice;Nein;David Sedaris;
1996;Desperation;Stephen King;eng;Intermediate;45872;94821;genre fiction;196.02;117.612;0.99;453;Amazon Digital Services,  Inc.;5346;Desperation;Ja (TV-Film 2006);Stephen King;
2011;Passion;Lauren Kate;eng;Intermediate;32568;119735;genre fiction;790.02;0.0;36.220,00  ;454;Amazon Digital Services,  Inc.;5346;Passion (Lauren Kate);Nein;Lauren Kate;
2012;The Kill Order;James Dashner;eng;Intermediate;25263;96568;genre fiction;1059.86;635.916;14.001,00  ;455;Random House LLC;5319;The Kill Order;Nein;James Dashner;
2011;Angelfall;Susan Ee;en-US;Excellent;43556;73886;genre fiction;194.04;0.0;0.99;457;Amazon Digital Services,  Inc.;5292;Angelfall;Nein;Susan Ee;
2001;Empire Falls;Richard Russo;eng;Intermediate;33298;90811;genre fiction;586.04;0.0;36.192,00  ;458;Amazon Digital Services,  Inc.;5292;Empire Falls;Ja (Miniserie 2005);Richard Russo;
1993;The Fires of Heaven;Robert Jordan;en-US;Excellent;41365;93227;children;1480.05;888.03;21.732,00  ;459;Random House LLC;5265;The Fires of Heaven;Nein;Robert Jordan;
2014;I'll Give You the Sun;Jandy Nelson;eng;Excellent;41730;140937;genre fiction;583.05;349.83;36.192,00  ;460;Simon and Schuster Digital Sales Inc;5265;I'll Give You the Sun;Nein;Jandy Nelson;
1999;Survivor;Chuck Palahniuk;en-US;Intermediate;34029;49551;genre fiction;192.06;115.236;0.99;462;HarperCollins Publishers;5238;Survivor (Palahniuk);Nein;Chuck Palahniuk;
2007;Shopaholic and Baby;Sophie Kinsella;eng;Intermediate;28185;98130;genre fiction;191.07;0.0;0.99;463;Amazon Digital Services,  Inc.;5211;Shopaholic and Baby;Nein;Sophie Kinsella;
2004;The Dark Tower;Stephen King;en-US;Excellent;46478;93296;genre fiction;770.07;0.0;36.220,00  ;463;Amazon Digital Services,  Inc.;5211;The Dark Tower;Ja (Film 2017 � Mischung aus mehreren B�nden);Stephen King;
2009;Twilight Director's Notebook;Catherine Hardwicke;en-US;Excellent;45692;88847;genre fiction;1726.08;1.035.648;36.373,00  ;465;HarperCollins Publishers;5184;Twilight Director's Notebook;Nein;Catherine Hardwicke;
2001;Shopaholic Abroad;Sophie Kinsella;en-US;Intermediate;27454;93498;genre fiction;1468.79;881.274;25.385,00  ;468;Penguin Group (USA) LLC;5157;Shopaholic Abroad;Nein;Sophie Kinsella;
1984;Surely You're Joking, Mr. Feynman! Adventures of a Curious Character;Richard Feynman;en-US;Excellent;47209;91625;genre fiction;948.1;0.0;36.251,00  ;470;Amazon Digital Services,  Inc.;5130;Surely You're Joking, Mr. Feynman!;Nein;Richard Feynman;
2010;Linger;Maggie Stiefvater;en-US;Intermediate;33298;125363;genre fiction;376.11;0.0;36.161,00  ;471;Amazon Digital Services,  Inc.;5103;Linger (M. Stiefvater);Nein;Maggie Stiefvater;
1908;The Complete Anne of Green Gables Boxed Set;L.M. Montgomery;;Famous;15432;92142;genre fiction;1510.11;906.066;36.342,00  ;472;Random House LLC;5103;The Complete Anne of Green Gables Boxed Set;Ja (Miniserien + Filme);L.M. Montgomery;
1916;A Portrait of the Artist as a Young Man;James Joyce, Seamus Deane;eng;Intermediate;45811;92569;fiction;565.11;339.066;36.192,00  ;472;Random House LLC;5103;A Portrait of the Artist as a Young Man;Nein;James Joyce, Seamus Deane;
2009;The Gathering Storm;Robert Jordan, Brandon Sanderson;eng;Excellent;12510;94095;genre fiction;750.12;0.0;36.220,00  ;473;Amazon Digital Services,  Inc.;5076;The Gathering Storm;Nein;Robert Jordan, Brandon Sanderson;
1871;Middlemarch;George Eliot, Michel Faber;eng;Intermediate;34029;95995;nonfiction;186.12;0.0;0.99;474;Amazon Digital Services,  Inc.;5076;Middlemarch;Nein;George Eliot, Michel Faber;
2012;Point of Retreat;Colleen Hoover;eng;Excellent;45720;109344;genre fiction;185.13;0.0;0.99;475;Amazon Digital Services,  Inc.;5049;Point of Retreat;Nein;Colleen Hoover;
1997;The Partner;John Grisham;;Intermediate;32568;86870;genre fiction;746.13;0.0;36.220,00  ;476;Amazon Digital Services,  Inc.;5049;The Partner;Nein;John Grisham;
1973;The Hobbit and The Lord of the Rings;J.R.R. Tolkien;eng;Famous;21641;90907;genre fiction;184.14;110.484;0.99;477;Amazon Digital Services,  Inc.;5022;The Hobbit / The Lord of the Rings;Ja (Filmtrilogien);J.R.R. Tolkien;
2009;Thoughtless;S.C. Stephens;eng;Excellent;45995;90483;genre fiction;1114.14;668.484;36.281,00  ;478;Penguin Group (USA) LLC;5022;Thoughtless (S.C. Stephens);Nein;S.C. Stephens;
1986;Presumed Innocent;Scott Turow;;Excellent;45661;91774;genre fiction;553.15;331.89;36.192,00  ;479;Amazon Digital Services,  Inc.;4995;Presumed Innocent;Ja (Film 1990);Scott Turow;
1989;The Dark Half;Stephen King;eng;Intermediate;27089;94624;genre fiction;550.16;330.096;36.192,00  ;482;Macmillan;4968;The Dark Half;Ja (Film 1993);Stephen King;
2006;Cleopatra: A Life;Stacy Schiff;eng;Intermediate;22706;73994;genre fiction;181.17;0.0;0.99;483;Amazon Digital Services,  Inc.;4941;Cleopatra: A Life;Nein;Stacy Schiff;
2005;The World Is Flat: A Brief History of the Twenty-first Century;Thomas L. Friedman;en-US;Intermediate;24167;78271;genre fiction;544.18;326.508;36.192,00  ;485;Hachette Book Group;4914;The World Is Flat;Nein;Thomas L. Friedman;
2013;Steelheart;Brandon Sanderson;eng;Excellent;42461;76261;genre fiction;1243.06;745.836;30.468,00  ;486;Penguin Group (USA) LLC;4914;Steelheart;Nein;Brandon Sanderson;
1995;;Marcus Pfister, J. Alison James;en-US;Excellent;42095;95421;genre fiction;903.19;0.0;36.251,00  ;488;Amazon Digital Services,  Inc.;4887;Marcus Pfister (z.?B. Rainbow Fish);Nein;Marcus Pfister, J. Alison James;
1864;Voyage au centre de la Terre;Jules Verne;eng;Intermediate;30742;89410;nonfiction;1726.2;1035.72;21.794,00  ;489;Macmillan;4860;Voyage au centre de la Terre;Ja (mehrere Filme);Jules Verne;
2009;The Happiness Project;Gretchen Rubin;eng;Intermediate;20880;94456;genre fiction;177.21;106.326;0.99;491;Amazon Digital Services,  Inc.;4833;The Happiness Project;Nein;Gretchen Rubin;
1962;The Man in the High Castle;Philip K. Dick;eng;Intermediate;24167;84180;genre fiction;2280.46;1.368.276;27.364,00  ;492;Hachette Book Group;4833;The Man in the High Castle;Ja (TV-Serie 2015�2019);Philip K. Dick;
1974;Helter Skelter: The True Story of The Manson Murders;Vincent Bugliosi, Curt Gentry;en-GB;Intermediate;4.0;92158;genre fiction;176.22;0.0;0.99;493;Amazon Digital Services,  Inc.;4806;Helter Skelter;Ja (Dokumentation 1976 + TV-Adaptionen);Vincent Bugliosi, Curt Gentry;
#WERT!;;Robert Kapilow, Dr. Seuss;;Famous;16163;90574;nonfiction;532.22;319.332;36.192,00  ;493;Hachette Book Group;4806;Robert Kapilow / Dr. Seuss;Nein;Robert Kapilow, Dr. Seuss;
1320;Inferno;Dante Alighieri, Anthony M. Esolen;;Intermediate;36220;87511;fiction;354.22;212.532;36.161,00  ;493;Hachette Book Group;4806;Inferno (Dante);Nein;Dante Alighieri, Anthony M. Esolen;
2012;Shadow of Night;Deborah Harkness;eng;Excellent;45751;97925;genre fiction;1242.44;745.464;35.947,00  ;494;Amazon Digital Services,  Inc.;4806;Shadow of Night;Nein;Deborah Harkness;
2014;Leaving Time;Jodi Picoult;eng;Intermediate;34394;76553;fiction;175.23;105.138;0.99;495;Amazon Digital Services,  Inc.;4779;Leaving Time;Nein;Jodi Picoult;
2006;Moon Called;Patricia Briggs;eng;Excellent;43191;129150;genre fiction;350.24;0.0;36.161,00  ;497;Amazon Digital Services,  Inc.;4752;Moon Called;Nein;Patricia Briggs;
2006;Blue Bloods;Melissa de la Cruz;en-US;Intermediate;24898;116687;genre fiction;702.24;421.344;36.220,00  ;497;Amazon Digital Services,  Inc.;4752;Blue Bloods (YA);Nein;Melissa de la Cruz;
1994;The Alienist;Caleb Carr;eng;Excellent;45781;96981;genre fiction;1230.24;738.144;36.312,00  ;498;HarperCollins Publishers;4752;The Alienist;Ja (TV-Serie 2018� );Caleb Carr;
2015;Between the World and Me;Ta-Nehisi Coates;eng;Famous;45751;74218;genre fiction;523.25;0.0;36.192,00  ;499;Amazon Digital Services,  Inc.;4725;Between the World and Me;Nein;Ta-Nehisi Coates;
1667;Paradise Lost;John Milton, John      Leonard;eng;Intermediate;45872;96316;genre fiction;868.26;0.0;36.251,00  ;502;Amazon Digital Services,  Inc.;4698;Paradise Lost;Nein;John Milton, John      Leonard;
2009;The Big Short: Inside the Doomsday Machine;Michael   Lewis;en-US;Excellent;46113;37090;fiction;1216.26;729.756;36.312,00  ;502;Simon and Schuster Digital Sales Inc;4698;The Big Short;Ja (Film 2015);Michael   Lewis;
1999;The Girl Who Loved Tom Gordon;Stephen King;;Intermediate;20515;95768;nonfiction;1346.76;808.056;27.211,00  ;503;Amazon Digital Services,  Inc.;4698;The Girl Who Loved Tom Gordon;Nein;Stephen King;
2011; A Monster Calls ;Patrick Ness, Jim Kay, Siobhan Dowd;eng;Excellent;13241;104579;genre fiction;1842.45;1105.47;24.016,00  ;505;Random House LLC;4671;A Monster Calls;Ja (Film 2016);Patrick Ness, Jim Kay, Siobhan Dowd;
2010;Towers of Midnight;Robert Jordan, Brandon Sanderson;en-US;Famous;15432;91383;fiction;344.27;206.562;36.161,00  ;505;Amazon Digital Services,  Inc.;4671;Towers of Midnight;Nein;Robert Jordan, Brandon Sanderson;
1971;The Day of the Jackal;Frederick Forsyth;eng;Excellent;45748;85883;genre fiction;171.27;0.0;0.99;508;Amazon Digital Services,  Inc.;4671;The Day of the Jackal;Ja (Film 1973 & Remake 1997);Frederick Forsyth;
2010;Rework;Jason Fried, David Heinemeier Hansson;eng;Intermediate;34029;88626;genre fiction;517.27;310.362;36.192,00  ;509;Simon and Schuster Digital Sales Inc;4671;Rework;Nein;Jason Fried, David Heinemeier Hansson;
2011;Attachments;Rainbow Rowell;eng;Intermediate;34759;105414;genre fiction;170.28;102.168;0.99;511;Amazon Digital Services,  Inc.;4644;Attachments;Nein;Rainbow Rowell;
2005;The Twilight Saga;Stephenie Meyer, Ilyana Kadushin, Matt Walters;;Intermediate;32203;89204;genre fiction;1632.28;979.368;18.142,00  ;513;Penguin Group (USA) LLC;4644;The Twilight Saga;Ja (Filmreihe 2008�2012);Stephenie Meyer, Ilyana Kadushin, Matt Walters;
2012;Tell the Wolves I'm Home;Carol Rifka Brunt;eng;Excellent;45751;85582;genre fiction;340.29;0.0;36.161,00  ;514;Amazon Digital Services,  Inc.;4617;Tell the Wolves I'm Home;Nein;Carol Rifka Brunt;
1972;All Creatures Great And Small;James Herriot;eng;Excellent;11414;64779;genre fiction;1024.29;0.0;36.281,00  ;514;Amazon Digital Services,  Inc.;4617;All Creatures Great and Small;Ja (TV-Serien begonnen 1978, Neuauflage 2020);James Herriot;
2011;The Unbecoming of Mara Dyer;Michelle Hodkin;eng;Excellent;45904;83847;fiction;1879.29;1.127.574;36.434,00  ;516;Macmillan;4617;The Unbecoming of Mara Dyer;Nein;Michelle Hodkin;
1997;Three to Get Deadly;Janet Evanovich;en-US;Excellent;41730;113400;genre fiction;1109.79;665.874;18.050,00  ;517;Hachette Book Group;4617;Three to Get Deadly;Nein;Janet Evanovich;
1905;The Scarlet Pimpernel;Emmuska Orczy;eng;Excellent;45812;93217;fiction;648.09;388.854;28.915,00  ;517;Hachette Book Group;4617;The Scarlet Pimpernel;Ja (Film & Serien);Emmuska Orczy;
1971;The Monster at the End of This Book;Jon Stone, Michael J. Smollin;eng;Famous;16528;102184;genre fiction;340.29;0.0;36.161,00  ;518;Amazon Digital Services,  Inc.;4617;The Monster at the End of This Book;Nein;Jon Stone, Michael J. Smollin;
1972;Tales of a Fourth Grade Nothing;Judy Blume;eng;Excellent;45904;106435;genre fiction;508.3;304.98;36.192,00  ;519;Penguin Group (USA) LLC;4590;Tales of a Fourth Grade Nothing;Nein;Judy Blume;
2012;Shadow and Bone;Leigh Bardugo;eng;Excellent;45781;135225;fiction;678.3;0.0;36.220,00  ;519;Amazon Digital Services,  Inc.;4590;Shadow and Bone;Ja (TV-Serie 2021);Leigh Bardugo;
2009;Het diner;Herman Koch, Sam Garrett;eng;Novice;44621;74979;genre fiction;848.3;0.0;36.251,00  ;520;Amazon Digital Services,  Inc.;4590;Het diner;Nein;Herman Koch, Sam Garrett;
2013;Champion;Marie Lu;eng;Excellent;13606;114623;nonfiction;1688.31;1.012.986;36.404,00  ;523;Simon and Schuster Digital Sales Inc;4563;Champion (Marie Lu);Nein;Marie Lu;
1985;Contact;Carl Sagan;eng;Excellent;45965;90917;genre fiction;1350.31;810.186;36.342,00  ;524;Random House LLC;4563;Contact;Ja (Film 1997);Carl Sagan;
2011;Lola and the Boy Next Door;Stephanie Perkins;en-US;Intermediate;4.0;108370;genre fiction;674.31;404.586;36.220,00  ;524;Amazon Digital Services,  Inc.;4563;Lola and the Boy Next Door;Nein;Stephanie Perkins;
1999;White Teeth;Zadie Smith;en-US;Intermediate;27454;82474;fiction;167.31;100.386;0.99;524;Amazon Digital Services,  Inc.;4563;White Teeth;Nein;Zadie Smith;
2012;American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History;Chris Kyle, Scott McEwen, Jim DeFelice;eng;Intermediate;35490;61422;genre fiction;2153.06;1.291.836;27.364,00  ;525;Macmillan;4563;American Sniper;Ja (Film 2014);Chris Kyle, Scott McEwen, Jim DeFelice;
2004;My Horizontal Life: A Collection of One-Night Stands;Chelsea Handler;en-GB;Intermediate;28915;83607;nonfiction;1294.54;776.724;24.289,00  ;526;Simon and Schuster Digital Sales Inc;4563;My Horizontal Life;Nein;Chelsea Handler;
2011;The Power of Six;Pittacus Lore;eng;Excellent;42826;97938;fiction;1843.79;1.106.274;33.512,00  ;526;Macmillan;4563;The Power of Six;Nein;Pittacus Lore;
2013;The Interestings;Meg Wolitzer;eng;Intermediate;19784;76566;genre fiction;1342.32;805.392;36.342,00  ;528;HarperCollins Publishers;4536;The Interestings;Nein;Meg Wolitzer;
1988;The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury;Bill Watterson;en-US;Famous;23833;93001;genre fiction;166.32;0.0;0.99;530;Amazon Digital Services,  Inc.;4536;Calvin and Hobbes;Nein;Bill Watterson;
2008;People of the Book;Geraldine Brooks;eng;Intermediate;4.0;95796;genre fiction;1291.92;775.152;25.385,00  ;531;Penguin Group (USA) LLC;4536;People of the Book;Nein;Geraldine Brooks;
2012;The Secret Keeper;Kate Morton;;Excellent;41365;89460;genre fiction;332.33;199.398;36.161,00  ;532;HarperCollins Publishers;4509;The Secret Keeper;Nein;Kate Morton;
1953;Better Homes & Gardens New Cook Book;Better Homes and Gardens;;Excellent;41730;93640;nonfiction;165.33;0.0;0.99;534;Amazon Digital Services,  Inc.;4509;Better Homes & Gardens New Cook Book;Nein;Better Homes and Gardens;
1984;So Long, and Thanks for All the Fish;Douglas Adams;eng;Excellent;45873;93774;genre fiction;1985.63;1.191.378;32.813,00  ;535;HarperCollins Publishers;4509;So Long, and Thanks for All the Fish;Ja (Teil der �Hitchhiker�s Guide� Filme);Douglas Adams;
1927;Der Steppenwolf: ErzÃ¤hlung;Hermann Hesse, Basil Creighton;eng;Excellent;45965;80769;fiction;833.33;499.998;36.251,00  ;535;Amazon Digital Services,  Inc.;4509;Der Steppenwolf;Nein;Hermann Hesse, Basil Creighton;
2001;The Surgeon;Tess Gerritsen;en-GB;Excellent;45661;89468;nonfiction;1835.33;1.101.198;36.434,00  ;536;Random House LLC;4509;The Surgeon;Ja (TV-Serie in Entwicklung);Tess Gerritsen;
2012;The Girl You Left Behind;Jojo Moyes;eng;Intermediate;34759;80991;genre fiction;1152.04;691.224;34.486,00  ;537;Random House LLC;4482;The Girl You Left Behind;Nein;Jojo Moyes;
1996;Royal Assassin;Robin Hobb;eng;Excellent;44287;82608;fiction;164.34;0.0;0.99;538;Amazon Digital Services,  Inc.;4482;Royal Assassin;Nein;Robin Hobb;
1953;Childhood's End;Arthur C. Clarke;en-US;Excellent;45904;87141;genre fiction;1226.74;0.0;14.427,00  ;539;Amazon Digital Services,  Inc.;4482;Childhood's End;Ja (TV-Miniserie 2015);Arthur C. Clarke;
